"Status","Class","Path","Reason"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/sql/drizzle-initial.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/sql/prisma-initial.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/sql/recovery.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/test-summary.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/timing.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/results/versions.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/scripts/run-poc.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/shared/additive.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/shared/destructive.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/shared/domain-constraints-drizzle.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/shared/domain-constraints.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/shared/experiments.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/shared/harness.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/shared/nest-provider.ts","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/shared/recovery.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/shared/seed.sql","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/tsconfig.build.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"A","ALLOWED_SUPPORTING","experiments/orm-comparison/tsconfig.json","ORM gate PoC and retained Node/runtime evidence required by D-006"
"M","ALLOWED_SUPPORTING","package.json","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"M","ALLOWED_SUPPORTING","packages/config/src/index.ts","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"A","EXPECTED","packages/database/README.md","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/drizzle.config.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/migrations/0000_database_foundation.sql","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/migrations/0001_auth_session_access_expiry.sql","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/migrations/checksums.json","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/package.json","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/schema/index.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/seeds/foundation.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/seeds/index.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/src/client.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/src/drift-check.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/src/expected-schema.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/src/index.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/src/migration-checksums.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/src/migration-runner.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/src/paths.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/tests/compose.yaml","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/tests/database.integration.test.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/tests/schema.unit.test.ts","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/tsconfig.build.json","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"A","EXPECTED","packages/database/tsconfig.json","Direct P0-S4B/P0-S5/P0-S6 database, auth, access, audit, or governance scope"
"M","ALLOWED_SUPPORTING","pnpm-lock.yaml","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"M","ALLOWED_SUPPORTING","pnpm-workspace.yaml","Dependency, workspace, environment, test discovery, lint, or API wiring support"
"M","ALLOWED_SUPPORTING","vitest.config.ts","Dependency, workspace, environment, test discovery, lint, or API wiring support"
